Class,Face Type,Curvature of Target Face,Width of taget face (for face-machining),Width of target face (for edge-machining),Adjacent unknown convexity bezier surface faces in an outer loop,Adjacent unknown convexity conical faces in an outer loop,Adjacent unknown convexity cylindrical faces in an outer loop,Adjacent unknown convexity planar faces in an outer loop,Adjacent unknown convexity spherical  faces in an outer loop,Adjacent unknown convexity toroidal faces in an outer loop,Adjacent concave bezier surface faces in an outer loop,Adjacent concave conical faces in an outer loop,Adjacent concave cylindrical faces in an outer loop,Adjacent concave planar faces in an outer loop,Adjacent concave spherical  faces in an outer loop,Adjacent concave toroidal faces in an outer loop,Adjacent convex bezier surface faces in an outer loop,Adjacent convex conical faces in an outer loop,Adjacent convex cylindrical faces in an outer loop,Adjacent convex planar faces in an outer loop,Adjacent convex spherical  faces in an outer loop,Adjacent convex toroidal faces in an outer loop,Adjacent non-tangent  bezier surface faces in an outer loop,Adjacent non-tangent  conical faces in an outer loop,Adjacent non-tangent  cylindrical faces in an outer loop,Adjacent non-tangent  planar faces in an outer loop,Adjacent non-tangent  spherical  faces in an outer loop,Adjacent non-tangent  toroidal faces in an outer loop,Adjacent perpendicular  bezier surface faces in an outer loop,Adjacent perpendicular  cylindrical faces in an outer loop,Adjacent perpendicular  planar faces in an outer loop,Contain concave inner loop that is not centered on face?,Contain convex inner loop that is centered on face?
2,6,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1,0
2,6,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,7,0,0
2,6,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0
2,6,0,2,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,7,0,0
2,6,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0
2,6,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0
2,6,0,2,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,8,0,0
2,6,0,2,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0
2,6,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,5,0,0
2,6,0,1,1,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,8,3,0,0
2,6,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1,0
